parameter,value,se_sa,rse_sa
ka_pop,1.54612489748683,0.287033362299242,18.56469440249
V_pop,32.2171862028381,1.56198049828668,4.84828342379906
Cl_pop,2.82121472680036,0.230785980695498,8.18037629334372
beta_Cl_lw70,0.719478470924368,0.616857858257194,85.7368056426582
omega_ka,0.605364795406285,0.142996457234436,23.621535034667
omega_V,0.140503751534282,0.041502140577061,29.5381013843852
omega_Cl,0.256712401722659,0.0641223784803846,24.9782940169987
a,0.593249492114526,0.120659935917613,20.3388182411322
b,0.0767686566371608,0.030948988101541,40.3146146581909
